;movieID;movieTitle;movieYear;IMDBRating;IMDBVotes;genres;subURL;found
16;m16;amadeus;1984;8.4;99138;['biography', 'drama', 'music'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-amadeus;nok
17;m17;an american werewolf in london;1981;7.5;24443;['horror', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-82010/sublanguageid-pob/moviename-an%20american%20werewolf%20in%20london;ok
18;m18;american madness;1932;7.4;702;['drama'];https://www.opensubtitles.org/pt/search/imdbid-2471114/sublanguageid-pob/moviename-american%20madness;ok
19;m19;american outlaws;2001;5.7;7425;['action', 'western'];https://www.opensubtitles.org/pt/search/imdbid-244000/sublanguageid-pob/moviename-american%20outlaws;ok
20;m20;american psycho;2000;7.4;101357;['drama', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-american+psycho;nok
21;m21;antitrust;2001;6.0;16453;['drama', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-218817/sublanguageid-pob/moviename-antitrust;ok
22;m22;austin powers: international man of mystery;1997;7.1;75240;['action', 'adventure', 'comedy', 'crime'];https://www.opensubtitles.org/pt/search/imdbid-118655/sublanguageid-pob/moviename-austin%20powers:%20international%20man%20of%20mystery;ok
23;m23;the avengers;1998;3.4;21519;['action', 'adventure', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-the+avengers;nok
24;m24;bachelor party;1984;5.9;14050;['comedy', 'romance'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-bachelor+party;nok
25;m25;backdraft;1991;6.6;28541;['action', 'crime', 'drama', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-101393/sublanguageid-pob/moviename-backdraft;ok
26;m26;bad lieutenant;1992;6.9;13908;['crime', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-bad+lieutenant;nok
27;m27;bamboozled;2000;6.3;5995;['comedy', 'drama', 'music'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-bamboozled;nok
28;m28;barry lyndon;1975;8.1;40622;['drama', 'romance', 'war'];https://www.opensubtitles.org/pt/search/imdbid-72684/sublanguageid-pob/moviename-barry%20lyndon;ok
29;m29;basic;2003;6.3;26295;['crime', 'drama', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-basic;nok
30;m30;big fish;2003;8.1;144264;['adventure', 'drama', 'fantasy'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-big+fish;nok
31;m31;birthday girl;2001;6.0;13497;['comedy', 'crime', 'romance', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-birthday+girl;nok
32;m32;black snake moan;2006;7.1;28509;['drama'];https://www.opensubtitles.org/pt/search/imdbid-462200/sublanguageid-pob/moviename-black%20snake%20moan;ok
33;m33;black rain;1989/I;6.4;16249;['action', 'crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-black+rain;nok
34;m34;blade runner;1982;8.3;188735;['drama', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-blade+runner;nok
35;m35;blast from the past;1999;6.4;23489;['comedy', 'drama', 'romance'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-blast+from+the+past;nok
36;m36;blue velvet;1986;7.8;54576;['crime', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-90756/sublanguageid-pob/moviename-blue%20velvet;ok
37;m37;the boondock saints;1999;7.8;87895;['action', 'crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-the+boondock+saints;nok
38;m38;bottle rocket;1996;7.2;22303;['comedy', 'crime'];https://www.opensubtitles.org/pt/search/imdbid-115734/sublanguageid-pob/moviename-bottle%20rocket;ok
39;m39;the bourne supremacy;2004;7.6;106349;['action', 'adventure', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-the+bourne+supremacy;nok
40;m40;braveheart;1995;8.4;245652;['action', 'biography', 'drama', 'history', 'war'];https://www.opensubtitles.org/pt/search/imdbid-112573/sublanguageid-pob/moviename-braveheart;ok
41;m41;the butterfly effect;2004;7.8;104917;['drama', 'mystery', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-the+butterfly+effect;nok
42;m42;casablanca;1942;8.8;170874;['drama', 'romance', 'war'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-casablanca;nok
43;m43;cast away;2000;7.5;104477;['adventure', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-cast+away;nok
44;m44;the cider house rules;1999;7.5;38836;['drama', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-124315/sublanguageid-pob/moviename-the%20cider%20house%20rules;ok
45;m45;confidence;2003;6.8;17235;['crime', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-confidence;nok
46;m46;croupier;1998;7.2;9060;['crime', 'drama'];https://www.opensubtitles.org/pt/search/imdbid-159382/sublanguageid-pob/moviename-croupier;ok
47;m47;dark star;1974;6.5;8303;['comedy', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-dark+star;nok
48;m48;dark angel;1990;5.3;3452;['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-dark+angel;nok
49;m49;detroit rock city;1999;6.5;14666;['comedy', 'music'];https://www.opensubtitles.org/pt/search/imdbid-165710/sublanguageid-pob/moviename-detroit%20rock%20city;ok
50;m50;donnie darko;2001;8.3;215194;['drama', 'mystery', 'sci-fi'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-donnie+darko;nok
51;m51;drop dead gorgeous;1999;6.3;16417;['comedy', 'adult'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-drop+dead+gorgeous;nok
52;m52;duck soup;1933;8.1;27112;['comedy', 'musical'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-duck+soup;nok
53;m53;the elephant man;1980;8.4;59625;['biography', 'drama', 'history'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-the+elephant+man;nok
54;m54;erik the viking;1989;5.9;5889;['comedy', 'adventure', 'fantasy'];https://www.opensubtitles.org/pt/search/imdbid-97289/sublanguageid-pob/moviename-erik%20the%20viking;ok
55;m55;eternal sunshine of the spotless mind;2004;8.5;224838;['drama', 'romance', 'sci-fi'];https://www.opensubtitles.org/pt/search/imdbid-338013/sublanguageid-pob/moviename-eternal%20sunshine%20of%20the%20spotless%20mind;ok
56;m56;even cowgirls get the blues;1993;4.0;3947;['comedy', 'drama', 'romance', 'western'];https://www.opensubtitles.org/pt/search/imdbid-5031902/sublanguageid-pob/moviename-even%20cowgirls%20get%20the%20blues;ok
57;m57;event horizon;1997;6.4;45497;['horror', 'mystery', 'mystery', 'sci-fi', 'sci-fi'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-event+horizon;nok
58;m58;fantastic four;2005;5.7;72581;['action', 'adventure', 'fantasy', 'sci-fi', 'fantasy'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-fantastic+four;nok
59;m59;fast times at ridgemont high;1982;7.2;31710;['comedy', 'drama', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-83929/sublanguageid-pob/moviename-fast%20times%20at%20ridgemont%20high;ok
60;m60;fear and loathing in las vegas;1998;7.6;82748;['drama', 'fantasy'];https://www.opensubtitles.org/pt/search/imdbid-120669/sublanguageid-pob/moviename-fear%20and%20loathing%20in%20las%20vegas;ok
61;m61;feast;2005;6.4;12248;['action', 'comedy', 'horror', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-feast;nok
62;m62;frances;1982;7.2;2756;['biography', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-frances;nok
63;m63;frankenstein;1931;8.0;23522;['drama', 'horror', 'sci-fi'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-frankenstein;nok
64;m64;friday the 13th;2009;5.6;27499;['horror'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-friday+the+13th;nok
65;m65;from dusk till dawn;1996;7.1;81559;['action', 'crime', 'horror', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-from+dusk+till+dawn;nok
66;m66;g.i. jane;1997;5.6;24068;['action', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-g.i.+jane;nok
67;m67;godzilla;1998;4.9;60310;['action', 'horror', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-godzilla;nok
68;m68;galaxy quest;1999;7.2;53004;['action', 'adventure', 'comedy', 'sci-fi'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-galaxy+quest;nok
69;m69;george washington;2000;7.5;3142;['drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-george+washington;nok
70;m70;get shorty;1995;6.9;33588;['comedy', 'crime', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-get+shorty;nok
71;m71;ghost ship;2002;5.3;26413;['horror', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-ghost+ship;nok
72;m72;ghost world;2001;7.7;43550;['comedy', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-ghost+world;nok
73;m73;the ghost and the darkness;1996;6.6;19954;['adventure', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-116409/sublanguageid-pob/moviename-the%20ghost%20and%20the%20darkness;ok
74;m74;ghostbusters ii;1989;6.1;45450;['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'action', 'adventure', 'comedy', 'sci-fi'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-ghostbusters+ii;nok
75;m75;ghostbusters;1986;6.9;237;['animation', 'comedy', 'fantasy', 'sci-fi', 'horror'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-ghostbusters;nok
76;m76;gladiator;2000;8.4;286067;['action', 'adventure', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-gladiator;nok
77;m77;the graduate;1967;8.2;79677;['comedy', 'drama', 'romance'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-the+graduate;nok
78;m78;grand hotel;1932;7.7;6088;['drama', 'romance'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-grand+hotel;nok
79;m79;the grifters;1990;7.0;11481;['crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-the+grifters;nok
80;m80;halloween h20: 20 years later;1998;5.4;22353;['drama', 'horror', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-120694/sublanguageid-pob/moviename-halloween%20h20:%2020%20years%20later;ok
81;m81;halloween: the curse of michael myers;1995;4.5;8743;['horror', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-113253/sublanguageid-pob/moviename-halloween:%20the%20curse%20of%20michael%20myers;ok
82;m82;happy birthday, wanda june;1971;5.8;144;['comedy', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-happy+birthday,+wanda+june;nok
83;m83;hardcore;1979;6.7;2455;['drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-hardcore;nok
84;m84;harold and maude;1971;8.1;28689;['comedy', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-67185/sublanguageid-pob/moviename-harold%20and%20maude;ok
85;m85;hellbound: hellraiser ii;1988;6.2;11273;['drama', 'horror', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-hellbound:+hellraiser+ii;nok
86;m86;hellboy;2004;6.8;68619;['action', 'adventure', 'fantasy'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-hellboy;nok
87;m87;hellraiser;1987;7.0;22922;['horror'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-hellraiser;nok
88;m88;high fidelity;2000;7.6;70464;['comedy', 'drama', 'music', 'romance'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-high+fidelity;nok
89;m89;highlander;1986;7.2;41243;['action', 'fantasy'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-highlander;nok
90;m90;his girl friday;1940;8.1;20870;['comedy', 'drama', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-32599/sublanguageid-pob/moviename-his%20girl%20friday;ok
91;m91;hope and glory;1987;7.4;4965;['drama', 'war'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-hope+and+glory;nok
92;m92;house of 1000 corpses;2003;5.6;27033;['horror'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-house+of+1000+corpses;nok
93;m93;human nature;2001;6.3;10017;['comedy', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-human+nature;nok
94;m94;the hustler;1961;8.2;25871;['drama', 'romance', 'sport'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-the+hustler;nok
95;m95;i am legend;2007;7.1;156084;['drama', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-i+am+legend;nok
96;m96;invaders from mars;1953;6.4;2115;['horror', 'sci-fi'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-invaders+from+mars;nok
97;m97;independence day;1996;6.6;151698;['action', 'adventure', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-independence+day;nok
98;m98;indiana jones and the last crusade;1989;8.3;174947;['action', 'adventure', 'thriller', 'action', 'adventure', 'fantasy'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-indiana+jones+and+the+last+crusade;nok
99;m99;indiana jones and the temple of doom;1984;7.5;112054;['action', 'adventure'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-indiana+jones+and+the+temple+of+doom;nok
100;m100;innerspace;1987;6.5;16854;['action', 'adventure', 'comedy', 'crime', 'sci-fi'];https://www.opensubtitles.org/pt/search/imdbid-93260/sublanguageid-pob/moviename-innerspace;ok
101;m101;the insider;1999;8.0;69660;['biography', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-the+insider;nok
102;m102;intolerable cruelty;2003;6.4;36739;['comedy', 'romance', 'crime'];https://www.opensubtitles.org/pt/search/imdbid-138524/sublanguageid-pob/moviename-intolerable%20cruelty;ok
103;m103;it happened one night;1934;8.3;25577;['comedy', 'romance'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-it+happened+one+night;nok
104;m104;jfk;1991;8.0;60406;['biography', 'drama', 'history', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-jfk;nok
105;m105;jackie brown;1997;7.6;85496;['crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-119396/sublanguageid-pob/moviename-jackie%20brown;ok
106;m106;jacob's ladder;1990/I;7.5;29182;['drama', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-jacob%27s+ladder;nok
107;m107;jason x;2001;4.4;18199;['horror', 'sci-fi'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-jason+x;nok
108;m108;jaws;1975;8.3;140982;['thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-jaws;nok
109;m109;juno;2007;7.9;152436;['comedy', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-juno;nok
110;m110;kalifornia;1993;6.7;21830;['crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-kalifornia;nok
111;m111;kids;1995;6.8;26546;['crime', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-kids;nok
112;m112;knight moves;1992;5.8;3272;['mystery', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-knight+moves;nok
113;m113;krull;1983;5.9;8246;['fantasy', 'action', 'adventure', 'sci-fi'];https://www.opensubtitles.org/pt/search/imdbid-85811/sublanguageid-pob/moviename-krull;ok
114;m114;léon;1994;8.6;204901;['crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-l%C3%A9on;nok
115;m115;labor of love;1998;4.5;45;[];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-labor+of+love;nok
116;m116;leaving las vegas;1995;7.6;42919;['drama', 'romance'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-leaving+las+vegas;nok
117;m117;legally blonde;2001;6.2;44558;['comedy'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-legally+blonde;nok
118;m118;legend;1985;6.2;20907;['fantasy', 'adventure', 'romance'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-legend;nok
119;m119;life as a house;2001;7.5;19468;['drama', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-264796/sublanguageid-pob/moviename-life%20as%20a%20house;ok
120;m120;the life of david gale;2003;7.3;38237;['drama', 'crime', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-289992/sublanguageid-pob/moviename-the%20life%20of%20david%20gale;ok
121;m121;little nicky;2000;5.0;35489;['fantasy', 'comedy', 'romance', 'animation', 'comedy', 'fantasy', 'horror'];https://www.opensubtitles.org/pt/search/imdbid-185431/sublanguageid-pob/moviename-little%20nicky;ok
122;m122;logan's run;1976;6.7;15152;['action', 'sci-fi'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-logan%27s+run;nok
123;m123;lost highway;1997;7.6;42998;['drama', 'horror', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-116922/sublanguageid-pob/moviename-lost%20highway;ok
124;m124;lost horizon;1937;7.8;5509;['adventure', 'drama', 'fantasy', 'mystery'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-lost+horizon;nok
125;m125;men in black;1997;7.0;121719;['action', 'adventure', 'comedy', 'sci-fi'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-men+in+black;nok
126;m126;minority report;2002;7.7;137009;['action', 'crime', 'mystery', 'sci-fi', 'thriller', 'action', 'animation', 'drama', 'mystery', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-minority+report;nok
127;m127;made;2001;6.4;9774;['comedy', 'crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-made;nok
128;m128;malcolm x;1992;7.7;23317;['biography', 'drama', 'history'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-malcolm+x;nok
129;m129;man on fire;2004;7.7;76517;['action', 'crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-man+on+fire;nok
130;m130;marty;1955;7.7;6379;['drama', 'romance'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-marty;nok
131;m131;mash;1970;7.8;29358;['comedy', 'war', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-mash;nok
132;m132;meet john doe;1941;7.7;4841;['comedy', 'drama', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-33891/sublanguageid-pob/moviename-meet%20john%20doe;ok
133;m133;metro;1997;5.3;9601;['action', 'comedy', 'crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-metro;nok
134;m134;metropolis;1927;8.4;40730;['adventure', 'drama', 'sci-fi'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-metropolis;nok
135;m135;mighty morphin power rangers;1994;8.2;35;['action', 'family'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-mighty+morphin+power+rangers;nok
136;m136;mobsters;1991;5.5;3574;['crime', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-mobsters;nok
137;m137;monkeybone;2001;4.5;8258;['animation', 'comedy', 'fantasy', 'romance'];https://www.opensubtitles.org/pt/subtitles/5070423/monkeybone-pb;check
138;m138;my mother dreams the satan's disciples in new york;1998;6.7;70;['short'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-my+mother+dreams+the+satan%27s+disciples+in+new+york;nok
139;m139;mr. smith goes to washington;1939;8.4;33984;['drama'];https://www.opensubtitles.org/pt/search/imdbid-31679/sublanguageid-pob/moviename-mr.%20smith%20goes%20to%20washington;ok
140;m140;mr. deeds goes to town;1936;8.0;7594;['comedy', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-27996/sublanguageid-pob/moviename-mr.%20deeds%20goes%20to%20town;ok
141;m141;mumford;1999;6.8;6333;['comedy', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-mumford;nok
142;m142;the mummy;1999;6.9;96736;['action', 'adventure', 'fantasy'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-the+mummy;nok
143;m143;mystery men;1999;5.9;31817;['action', 'comedy', 'fantasy'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-mystery+men;nok
144;m144;napoleon;1995;5.5;486;['family', 'adventure'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-napoleon;nok
145;m145;next friday;2000;5.4;10267;['comedy'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-next+friday;nok
146;m146;nick of time;1995;6.2;15945;['crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-nick+of+time;nok
147;m147;the night of the hunter;1955;8.2;26211;['drama', 'film-noir', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-the+night+of+the+hunter;nok
148;m148;a nightmare on elm street;1984;7.4;47161;['horror'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-a+nightmare+on+elm+street;nok
149;m149;ninotchka;1939;7.9;6951;['comedy', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-31725/sublanguageid-pob/moviename-ninotchka;ok
150;m150;nixon;1995;7.1;13878;['biography', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-nixon;nok
151;m151;no country for old men;2007;8.3;202649;['crime', 'drama', 'mystery', 'thriller', 'western'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-no+country+for+old+men;nok
152;m152;nurse betty;2000;6.4;20473;['comedy', 'crime', 'romance', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-171580/sublanguageid-pob/moviename-nurse%20betty;ok
153;m153;o brother, where art thou?;2000;7.8;95628;['comedy', 'adventure', 'crime', 'music'];https://www.opensubtitles.org/pt/search2/moviename-o+brother,+where+art+thou/sublanguageid-pob/moviename-o+brother,+where+art+thou;nok
154;m154;an officer and a gentleman;1982;6.8;16883;['drama', 'romance'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-an+officer+and+a+gentleman;nok
155;m155;panic room;2002;6.9;69824;['thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-panic+room;nok
156;m156;panther;1995/I;5.9;1129;['drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-panther;nok
157;m157;the patriot;2000;6.9;79207;['action', 'drama', 'war'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-the+patriot;nok
158;m158;pet sematary;1989;6.3;19851;['drama', 'fantasy', 'horror', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-pet+sematary;nok
159;m159;pirates of the caribbean;2003;7.2;329;['adventure', 'fantasy', 'horror'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-pirates+of+the+caribbean;nok
160;m160;plastic man;1999;6.7;29;['drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-plastic+man;nok
161;m161;platinum blonde;1931;6.9;1119;['comedy', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-22268/sublanguageid-pob/moviename-platinum%20blonde;ok
162;m162;pleasantville;1998;7.5;49669;['comedy', 'drama', 'fantasy'];https://www.opensubtitles.org/pt/search/imdbid-120789/sublanguageid-pob/moviename-pleasantville;ok
163;m163;punch-drunk love;2002;7.4;50312;['comedy', 'drama', 'romance'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-2521;ok
164;m164;quills;2000;7.3;22657;['biography', 'drama', 'history', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-180073/sublanguageid-pob/moviename-quills;ok
