index;movieID;movieTitle;movieYear;IMDBRating;IMDBVotes;genres;subURL;found;subDownUrl
10;m10;affliction;1997;6.9;7252;['drama', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-5745;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3729716
11;m11;air force one;1997;6.3;61978;['action', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-118571/sublanguageid-pob/moviename-air%20force%20one;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/5584510
12;m12;airplane ii: the sequel;1982;5.8;15210;['comedy', 'romance', 'sci-fi'];https://www.opensubtitles.org/pt/search/imdbid-83530/sublanguageid-pob/moviename-airplane%20ii:%20the%20sequel;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3126623
13;m13;airplane!;1980;7.8;57692;['comedy', 'romance'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-343;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3615246
14;m14;alien nation;1988;6.1;5590;['crime', 'drama', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-29224;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/6616654
15;m15;aliens;1986;8.5;173518;['action', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-129;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3865376
16;m16;amadeus;1984;8.4;99138;['biography', 'drama', 'music'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-644;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/34258
17;m17;an american werewolf in london;1981;7.5;24443;['horror', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-82010/sublanguageid-pob/moviename-an%20american%20werewolf%20in%20london;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3151030
18;m18;american madness;1932;7.4;702;['drama'];https://www.opensubtitles.org/pt/search/imdbid-2471114/sublanguageid-pob/moviename-american%20madness;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/4784228
19;m19;american outlaws;2001;5.7;7425;['action', 'western'];https://www.opensubtitles.org/pt/search/imdbid-244000/sublanguageid-pob/moviename-american%20outlaws;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/145178
20;m20;american psycho;2000;7.4;101357;['drama', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-1994;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3522825
21;m21;antitrust;2001;6.0;16453;['drama', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-218817/sublanguageid-pob/moviename-antitrust;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/53504
22;m22;austin powers: international man of mystery;1997;7.1;75240;['action', 'adventure', 'comedy', 'crime'];https://www.opensubtitles.org/pt/search/imdbid-118655/sublanguageid-pob/moviename-austin%20powers:%20international%20man%20of%20mystery;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/99636
23;m23;the avengers;1998;3.4;21519;['action', 'adventure', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-2205;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/5792690
24;m24;bachelor party;1984;5.9;14050;['comedy', 'romance'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-5509;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/74247
25;m25;backdraft;1991;6.6;28541;['action', 'crime', 'drama', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-101393/sublanguageid-pob/moviename-backdraft;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3818245
26;m26;bad lieutenant;1992;6.9;13908;['crime', 'drama'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-8016;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3131028
27;m27;bamboozled;2000;6.3;5995;['comedy', 'drama', 'music'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-10108;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3956496
28;m28;barry lyndon;1975;8.1;40622;['drama', 'romance', 'war'];https://www.opensubtitles.org/pt/search/imdbid-72684/sublanguageid-pob/moviename-barry%20lyndon;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3179867
29;m29;basic;2003;6.3;26295;['crime', 'drama', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-5053;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/74363
30;m30;big fish;2003;8.1;144264;['adventure', 'drama', 'fantasy'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-1723;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3456449
31;m31;birthday girl;2001;6.0;13497;['comedy', 'crime', 'romance', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-3974;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/75648
32;m32;black snake moan;2006;7.1;28509;['drama'];https://www.opensubtitles.org/pt/search/imdbid-462200/sublanguageid-pob/moviename-black%20snake%20moan;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3115968
33;m33;black rain;1989;6.4;16249;['action', 'crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-5626;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/98576
34;m34;blade runner;1982;8.3;188735;['drama', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-131;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3174696
35;m35;blast from the past;1999;6.4;23489;['comedy', 'drama', 'romance'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-5482;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/38106
36;m36;blue velvet;1986;7.8;54576;['crime', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-90756/sublanguageid-pob/moviename-blue%20velvet;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/4871747
37;m37;the boondock saints;1999;7.8;87895;['action', 'crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-39;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3603972
38;m38;bottle rocket;1996;7.2;22303;['comedy', 'crime'];https://www.opensubtitles.org/pt/search/imdbid-115734/sublanguageid-pob/moviename-bottle%20rocket;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/5023985
39;m39;the bourne supremacy;2004;7.6;106349;['action', 'adventure', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-119;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3172762
40;m40;braveheart;1995;8.4;245652;['action', 'biography', 'drama', 'history', 'war'];https://www.opensubtitles.org/pt/search/imdbid-112573/sublanguageid-pob/moviename-braveheart;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3627181
41;m41;the butterfly effect;2004;7.8;104917;['drama', 'mystery', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-163;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3447001
42;m42;casablanca;1942;8.8;170874;['drama', 'romance', 'war'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-257;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3312974
43;m43;cast away;2000;7.5;104477;['adventure', 'drama'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-632;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3883041
44;m44;the cider house rules;1999;7.5;38836;['drama', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-124315/sublanguageid-pob/moviename-the%20cider%20house%20rules;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3273816
45;m45;confidence;2003;6.8;17235;['crime', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-4071;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/61540
46;m46;croupier;1998;7.2;9060;['crime', 'drama'];https://www.opensubtitles.org/pt/search/imdbid-159382/sublanguageid-pob/moviename-croupier;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3110538
47;m47;dark star;1974;6.5;8303;['comedy', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-4035;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/5793727
48;m48;dark angel;1990;5.3;3452;['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-dark+angel;nok;
49;m49;detroit rock city;1999;6.5;14666;['comedy', 'music'];https://www.opensubtitles.org/pt/search/imdbid-165710/sublanguageid-pob/moviename-detroit%20rock%20city;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3089693
50;m50;donnie darko;2001;8.3;215194;['drama', 'mystery', 'sci-fi'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-64;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3452633
51;m51;drop dead gorgeous;1999;6.3;16417;['comedy', 'adult'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-2587;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/4061734
52;m52;duck soup;1933;8.1;27112;['comedy', 'musical'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-4086;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3169493
53;m53;the elephant man;1980;8.4;59625;['biography', 'drama', 'history'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-1138;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3093078
54;m54;erik the viking;1989;5.9;5889;['comedy', 'adventure', 'fantasy'];https://www.opensubtitles.org/pt/search/imdbid-97289/sublanguageid-pob/moviename-erik%20the%20viking;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3419840
55;m55;eternal sunshine of the spotless mind;2004;8.5;224838;['drama', 'romance', 'sci-fi'];https://www.opensubtitles.org/pt/search/imdbid-338013/sublanguageid-pob/moviename-eternal%20sunshine%20of%20the%20spotless%20mind;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3093255
56;m56;even cowgirls get the blues;1993;4.0;3947;['comedy', 'drama', 'romance', 'western'];https://www.opensubtitles.org/pt/search/imdbid-5031902/sublanguageid-pob/moviename-even%20cowgirls%20get%20the%20blues;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/6359156
57;m57;event horizon;1997;6.4;45497;['horror', 'mystery', 'mystery', 'sci-fi', 'sci-fi'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-569;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3090472
58;m58;fantastic four;2005;5.7;72581;['action', 'adventure', 'fantasy', 'sci-fi', 'fantasy'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-651;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3091066
59;m59;fast times at ridgemont high;1982;7.2;31710;['comedy', 'drama', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-83929/sublanguageid-pob/moviename-fast%20times%20at%20ridgemont%20high;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3545855
60;m60;fear and loathing in las vegas;1998;7.6;82748;['drama', 'fantasy'];https://www.opensubtitles.org/pt/search/imdbid-120669/sublanguageid-pob/moviename-fear%20and%20loathing%20in%20las%20vegas;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3147251
61;m61;feast;2005;6.4;12248;['action', 'comedy', 'horror', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-20342;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3083773
62;m62;frances;1982;7.2;2756;['biography', 'drama'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-31126;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3952729
63;m63;frankenstein;1931;8.0;23522;['drama', 'horror', 'sci-fi'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-12088;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3157703
64;m64;friday the 13th;2009;5.6;27499;['horror'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-11003;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3449830
65;m65;from dusk till dawn;1996;7.1;81559;['action', 'crime', 'horror', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-2712;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3155119
66;m66;g.i. jane;1997;5.6;24068;['action', 'drama'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-5408;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3173858
67;m67;godzilla;1998;4.9;60310;['action', 'horror', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-101;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3093823
68;m68;galaxy quest;1999;7.2;53004;['action', 'adventure', 'comedy', 'sci-fi'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-2354;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3177123
69;m69;george washington;2000;7.5;3142;['drama'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-14461;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/6825422
70;m70;get shorty;1995;6.9;33588;['comedy', 'crime', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-480;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3106841
71;m71;ghost ship;2002;5.3;26413;['horror', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-23;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3947661
72;m72;ghost world;2001;7.7;43550;['comedy', 'drama'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-4204;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/5679393
73;m73;the ghost and the darkness;1996;6.6;19954;['adventure', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-116409/sublanguageid-pob/moviename-the%20ghost%20and%20the%20darkness;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3110058
74;m74;ghostbusters ii;1989;6.1;45450;['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'action', 'adventure', 'comedy', 'sci-fi'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-1816;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3157342
75;m75;ghostbusters;1986;6.9;237;['animation', 'comedy', 'fantasy', 'sci-fi', 'horror'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-2762;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3275330
76;m76;gladiator;2000;8.4;286067;['action', 'adventure', 'drama'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-564;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/4165203
77;m77;the graduate;1967;8.2;79677;['comedy', 'drama', 'romance'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-1512;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3119527
78;m78;grand hotel;1932;7.7;6088;['drama', 'romance'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-4764;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3690986
79;m79;the grifters;1990;7.0;11481;['crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-9069;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3396499
80;m80;halloween h20: 20 years later;1998;5.4;22353;['drama', 'horror', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-120694/sublanguageid-pob/moviename-halloween%20h20:%2020%20years%20later;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3809332
81;m81;halloween: the curse of michael myers;1995;4.5;8743;['horror', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-113253/sublanguageid-pob/moviename-halloween:%20the%20curse%20of%20michael%20myers;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/86894
82;m82;happy birthday, wanda june;1971;5.8;144;['comedy', 'drama'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-happy+birthday,+wanda+june;nok;
83;m83;hardcore;1979;6.7;2455;['drama'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-2576;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3289154
84;m84;harold and maude;1971;8.1;28689;['comedy', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-67185/sublanguageid-pob/moviename-harold%20and%20maude;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3549402
85;m85;hellbound: hellraiser ii;1988;6.2;11273;['drama', 'horror', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-4786;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3174167
86;m86;hellboy;2004;6.8;68619;['action', 'adventure', 'fantasy'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-11;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3307351
87;m87;hellraiser;1987;7.0;22922;['horror'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-2595;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3174166
88;m88;high fidelity;2000;7.6;70464;['comedy', 'drama', 'music', 'romance'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-3148;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/43370
89;m89;highlander;1986;7.2;41243;['action', 'fantasy'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-4600;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3094161
90;m90;his girl friday;1940;8.1;20870;['comedy', 'drama', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-32599/sublanguageid-pob/moviename-his%20girl%20friday;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3557747
91;m91;hope and glory;1987;7.4;4965;['drama', 'war'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-26852;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3566446
92;m92;house of 1000 corpses;2003;5.6;27033;['horror'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-652;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/50629
93;m93;human nature;2001;6.3;10017;['comedy', 'drama'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-2310;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3177809
94;m94;the hustler;1961;8.2;25871;['drama', 'romance', 'sport'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-7210;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3162112
95;m95;i am legend;2007;7.1;156084;['drama', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-28427;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3169848
96;m96;invaders from mars;1953;6.4;2115;['horror', 'sci-fi'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-20038;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3276493
97;m97;independence day;1996;6.6;151698;['action', 'adventure', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-1979;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/53696
98;m98;indiana jones and the last crusade;1989;8.3;174947;['action', 'adventure', 'thriller', 'action', 'adventure', 'fantasy'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-211;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3090511
99;m99;indiana jones and the temple of doom;1984;7.5;112054;['action', 'adventure'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-3752;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3270274
100;m100;innerspace;1987;6.5;16854;['action', 'adventure', 'comedy', 'crime', 'sci-fi'];https://www.opensubtitles.org/pt/search/imdbid-93260/sublanguageid-pob/moviename-innerspace;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3328179
101;m101;the insider;1999;8.0;69660;['biography', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-3452;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3085413
102;m102;intolerable cruelty;2003;6.4;36739;['comedy', 'romance', 'crime'];https://www.opensubtitles.org/pt/search/imdbid-138524/sublanguageid-pob/moviename-intolerable%20cruelty;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/61918
103;m103;it happened one night;1934;8.3;25577;['comedy', 'romance'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-5990;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3519279
104;m104;jfk;1991;8.0;60406;['biography', 'drama', 'history', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-4124;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/4198109
105;m105;jackie brown;1997;7.6;85496;['crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-119396/sublanguageid-pob/moviename-jackie%20brown;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3379403
106;m106;jacob's ladder;1990;7.5;29182;['drama', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-3560;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3097358
107;m107;jason x;2001;4.4;18199;['horror', 'sci-fi'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-3051;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/5213295
108;m108;jaws;1975;8.3;140982;['thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-2087;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3570917
109;m109;juno;2007;7.9;152436;['comedy', 'drama'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-30966;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3267307
110;m110;kalifornia;1993;6.7;21830;['crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-6044;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3444885
111;m111;kids;1995;6.8;26546;['crime', 'drama'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-220;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3108005
112;m112;knight moves;1992;5.8;3272;['mystery', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-10875;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/5347622
113;m113;krull;1983;5.9;8246;['fantasy', 'action', 'adventure', 'sci-fi'];https://www.opensubtitles.org/pt/search/imdbid-85811/sublanguageid-pob/moviename-krull;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/5832659
114;m114;léon;1994;8.6;204901;['crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-38;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3297065
115;m115;labor of love;1998;4.5;45;[];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-labor+of+love;nok;
116;m116;leaving las vegas;1995;7.6;42919;['drama', 'romance'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-3300;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3261701
117;m117;legally blonde;2001;6.2;44558;['comedy'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-1600;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/5215697
118;m118;legend;1985;6.2;20907;['fantasy', 'adventure', 'romance'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-4596;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/4946668
119;m119;life as a house;2001;7.5;19468;['drama', 'romance'];https://www.opensubtitles.org/pt/search/imdbid-264796/sublanguageid-pob/moviename-life%20as%20a%20house;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3504690
120;m120;the life of david gale;2003;7.3;38237;['drama', 'crime', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-289992/sublanguageid-pob/moviename-the%20life%20of%20david%20gale;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3280685
121;m121;little nicky;2000;5.0;35489;['fantasy', 'comedy', 'romance', 'animation', 'comedy', 'fantasy', 'horror'];https://www.opensubtitles.org/pt/search/imdbid-185431/sublanguageid-pob/moviename-little%20nicky;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/57045
122;m122;logan's run;1976;6.7;15152;['action', 'sci-fi'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-10653;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3105134
123;m123;lost highway;1997;7.6;42998;['drama', 'horror', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-116922/sublanguageid-pob/moviename-lost%20highway;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3096286
